1576597864,Hakuna-Matata,38,1007,9813123,24
1576601926,H+II+MFlamezz,0,5,4000,529
1576609465,PiPiFein,51,121,1435920,69
1576623509,Bumaye.,0,5,4000,530
1576654167,LordDarthVader,0,4,3391,613
1576689089,xSeriuZx,208,83,858665,83
1576701092,Guardian.,84,223,2315928,60
1576708425,Kingatala,21,1,9969,304
1576716861,vincent325,0,5,4000,531
1576770016,jeriksson7,0,5,4000,532
1576784288,JP501,139,197,2012943,63
1576784985,Der+Mash,106,1608,18835145,9
1576799131,JokerJack,341,57,428880,101
1576813751,xGunners,361,10,68105,167
1576822887,Rhaenyra+Targaryen,0,5,4000,533
1576834227,vandecan,0,1,951,675
1576834908,yakra,299,34,331783,111
1576840710,mpaxala,0,3,2400,647
1576862421,LetsGoooo,0,5,4000,534
1576863915,lubenko1,26,35,226496,121
1576865444,xxXlordXxx,0,5,4000,535
1576865900,PummeIeinhorn,184,1717,20243753,5
1576866482,Kage,0,5,4000,536
1576872907,KingOfAustria,0,5,4000,537
1576878361,judojannis,0,1,800,686
1576880392,stefan1809,261,1,9729,307
1576887003,fritzethekiller,0,5,8249,325
1576887672,Bierzeltboxer,253,465,4593630,47
1576891173,Lady+Thea,0,5,4088,432
1576898361,cHucKy+oO,0,5,4000,538
1576898877,HerrdesfeuerisOP,295,59,229666,120
1576905485,Rekagexeze,0,5,4000,539
1576915527,midland,0,5,18665,247
1576918398,Tobixkx,0,5,16011,267
1576924702,Glas+voll+Dreck,0,5,4005,494
1576932853,KronenEx,306,1,5115,370
1576943048,sirandy2,343,13,36286,197
1576957930,LordBembel,0,5,4362,398
1576960704,Aniwrett,0,5,22751,223
1576964247,xRollstuhlcowboy,0,5,4453,392
1576966789,NotoriousM,36,2,19025,243
1576975150,Blzkrieg,210,19,50140,178
1576979193,K%C3%B6nig+Luks,348,24,87436,158
1576980308,BrockLesnar,348,70,348582,108
1576988716,Sami66,0,4,3240,618
1576989645,st.+Patrick+.1,194,18,159648,129
1576997370,Lord+Bierbaron,62,1,4011,481
1577000972,AutenSt,0,5,7508,331
1577004394,End-.HIDORI,184,222,2298581,61
1577006439,Lederhosenjunkie,0,5,4000,540
1577006855,General99,241,291,2861442,57
1577009848,Kari69,31,456,5147025,43
1577010286,AldafaddaTv,21,1,10445,299
1577013509,OliWer,84,302,2905040,55
1577014297,weedstar.-,40,6,57150,170
1577016873,FloFauli,62,11,39044,191
1577016966,dtothev,0,5,5609,353
1577019149,ZweiMuskeltiere,0,1,800,687
1577028442,Bluedelarion,0,5,4098,427
1577034875,Verteidiger-,0,5,4000,541
1577040214,xmu719x,0,5,4000,542
1577043583,JSCG-Freak91,0,5,4008,490
1577043732,WolfClaw,62,6,17943,253
1577047925,Saurfang,106,1991,23316954,4
1577064562,brauner,207,5,18399,249
1577066880,Alphak3vin,38,406,4162096,48
1577066955,FruityBanana,0,6,25047,220
1577067841,jogy59,0,2,2441,643
1577072292,der+j%C3%A4ger,196,35,361349,106
1577076297,Cali,48,188,1930510,64
1577076417,MatzeOD,299,20,159620,135
1577080237,Hausmeister,0,5,4616,384
1577081317,Einstein,194,130,1324619,73
1577081797,Puschl,0,1,2961,633
1577088194,luli96,0,5,4000,543
1577091009,DerPapa,0,5,4000,544
1577092404,cab.thomas,0,2,1850,660
1577092800,Trick,126,3,29341,206
1577093582,Haima07,0,2,1600,670
1577095727,dogan,75,571,3767875,50
1577095934,Ivan-der-Gro%C3%9Fe,0,5,4010,484
1577097827,InCreDible,0,2,1624,664
1577102100,JustPerri,0,5,4070,437
1577106052,Creset,0,1,800,688
1577108311,Tante1,0,1,9944,303
1577110617,King-Prawn,0,1,800,689
1577113388,bosenbo,0,5,4048,448
1577118350,WorKBooN,0,5,4490,387
1577121208,JonathanWick,76,15,90921,152
1577123508,H1LLe,0,5,4000,545
1577134183,Kollegah-Orbit,0,1,6753,340
1577136457,BlackPanther411,253,556,5762741,40
1577137875,checke12,0,5,4000,546
1577138412,Sven+1974,348,6,17840,255
1577146056,amliw,0,5,4000,547
1577147774,Krieger3,0,5,4000,548
1577150104,Lil+Trump,38,477,4982265,44
1577150258,philipp206,75,205,1717650,66
1577150723,Wanna+Play%3F,253,737,7314115,33
1577151636,NunNunArbeit,194,28,220788,123
1577151790,Schnueffel,206,3,16861,263
1577153814,Christians4,0,5,6734,339
1577160968,H.D.W.,0,5,4095,429
1577161400,D0nJ0n,0,5,30837,204
1577164391,Lx+52080,0,5,8995,317
